3693->,0.5,-0.125,-0.25,0.5,0.045454545
4301->,0,0,0,0.875,0.045454545
4307->,0.875,-0.125,-0.875,0,0.045454545
4333->,0,0.375,0.25,0,0.045454545
4491->,-0.375,-0.25,-0.25,-1,0.045454545
4621->,0,-0.125,0,0.25,0.045454545
4633->,-0.25,-0.25,0.25,-0.125,0.045454545
4650->,0.125,0,0,0,0.045454545
4653->,0.75,0,0,0,0.045454545
4684->,0,0.125,0,0.375,0.045454545
4729->,0.125,0,0,0,0.045454545
5196->,-0.375,0.125,-0.375,0,0.045454545
5276->,0.125,0.125,0.125,0.25,0.045454545
5290->,0,0.25,-0.125,0,0.045454545
5323->,0,-0.5,-0.25,-0.125,0.045454545
5342->,0.375,0,0.375,0,0.045454545
5388->,0.125,-0.375,-0.5,-0.25,0.045454545
5420->,0,0,-0.5,0.375,0.045454545
5426->,-0.125,-0.75,0,-0.5,0.045454545
5452->,-0.125,0,0,-0.125,0.045454545
5481->,0.375,0,0.125,0,0.045454545
5482->,0,0.125,0,0.5,0.045454545
5484->,0,0.25,0.75,0,0.045454545
5511->,0,0.125,-0.125,0,0.045454545
5515->,0.125,0.125,0,0.125,0.045454545
5516->,0.125,0,0.125,0,0.045454545
5560->,0,0.125,0.125,0,0.045454545
5937->,0,0.5,0,0,0.045454545
5971->,0,0.125,0,0.25,0.045454545
5996->,0,-0.25,0,0,0.045454545
5998->,0,0.5,0,0.5,0.045454545
6003->,-0.75,-0.125,0,0.125,0.045454545
6030->,-0.25,0.25,0,0.5,0.045454545
6188->,-0.125,-0.25,0,-0.125,0.045454545
6200->,-0.125,0,-0.5,0,0.045454545
6347->,0,-0.25,0.125,0,0.045454545
6774->,-0.25,0.25,0.25,0,0.045454545
6787->,0,0,0,0,0.045454545
6827->,0,0,0,-0.25,0.045454545
6901->,-0.125,0,0,0,0.045454545
6904->,0,-0.125,0,-0.125,0.045454545
6934->,-0.125,0,-0.375,-0.125,0.045454545
7004->,0.375,0.5,0.375,0,0.045454545
7030->,0,-0.125,0,-0.125,0.045454545
7094->,-0.25,0,0,-0.25,0.045454545
7126->,0,0,0.25,0.25,0.045454545
7157->,0.125,0.25,0,0,0.045454545
7191->,0.125,0.125,0.125,0,0.045454545
7192->,0.125,0,0,0.125,0.045454545
7354->,0.125,0.125,-0.125,0.125,0.045454545
7627->,0.125,-0.25,0,0.125,0.045454545
7629->,0.875,-0.25,0.25,-1,0.045454545
7634->,0,0.25,0,0,0.045454545
7661->,-0.125,0.25,0,0.75,0.045454545
7666->,0,0,0,0.125,0.045454545
7692->,0.125,-0.75,0,0,0.045454545
7697->,0,0.25,-0.125,0,0.045454545
7730->,-0.25,0,-0.75,-0.5,0.045454545
7731->,0,-0.75,-0.5,-0.125,0.045454545
7785->,0,0,-0.25,0.75,0.045454545
7831->,0,-0.25,0,0,0.045454545
7863->,0,0.125,0,0,0.045454545
7886->,0,0.75,0,0.25,0.045454545
7913->,-0.25,0.25,0,-0.5,0.045454545
7991->,0,0,-0.125,0,0.045454545
8317->,0,0,0,0.25,0.045454545
8319->,0,-0.125,0,0,0.045454545
8352->,0,-0.125,-0.125,-0.125,0.045454545
8432->,0,0.5,0,0.75,0.045454545
8464->,0,0.25,-0.5,0,0.045454545
8465->,0.25,0,0,0.25,0.045454545
8497->,0.25,-0.25,0,0,0.045454545
8522->,-0.125,0,0,0.125,0.045454545
8527->,-0.75,-0.125,0,0,0.045454545
8530->,0.375,-0.875,0,-0.125,0.045454545
8561->,0,-0.375,-0.25,0,0.045454545
8585->,-0.125,0,0,0,0.045454545
8726->,-0.375,0.75,0,0,0.045454545
8838->,0,0,0,0,0.045454545
9150->,0.5,-0.125,0,-0.125,0.045454545
9183->,0,-0.125,0,-0.125,0.045454545
9268->,0,0.25,0.5,0,0.045454545
9269->,0.25,0,0,0,0.045454545
9300->,0,0,0.25,0,0.045454545
9324->,-0.375,0,0,0.875,0.045454545
9332->,0,0.125,0.125,0.125,0.045454545
9333->,0.125,0,0.125,-0.125,0.045454545
9428->,-0.375,-0.125,0,-0.125,0.045454545
9489->,0,0,-0.25,-0.125,0.045454545
9501->,-0.125,0,0,0,0.045454545
9682->,0.125,0,0,0.875,0.045454545
9983->,0.125,0,0,0,0.045454545
9984->,0,-0.125,0,-0.125,0.045454545
