960->,0,0,0,0.25,0.681818182
961->,0,-0.25,0.25,0,0.681818182
965->,0.25,-0.375,0.25,-0.75,0.681818182
966->,-0.375,-0.375,-0.75,-0.25,0.681818182
967->,-0.375,0,-0.25,0,0.681818182
995->,0,0,-0.5,0,0.590909091
996->,0,0,0,0.125,0.590909091
997->,0,0,0.125,0.5,0.772727273
998->,0,0,0.5,-0.5,0.590909091
999->,0,-0.375,-0.5,-0.875,0.681818182
1027->,0,0.25,0.5,0.25,0.772727273
1028->,0.25,-0.25,0.25,0,0.590909091
1029->,-0.25,0.25,0,0,0.772727273
1030->,0.25,-0.5,0,0.5,0.681818182
1031->,-0.5,-0.5,0.5,0,0.681818182
1058->,0,0.25,0.25,-0.5,0.863636364
1059->,0.25,0,-0.5,0.125,0.772727273
1060->,0,-0.5,0.125,-0.875,0.045454545
1061->,-0.5,0,-0.875,0,0.590909091
1262->,0.75,-0.75,-0.5,-0.875,0.590909091
1321->,0,0,0,0,0.590909091
1322->,0,0,0,-0.25,0.590909091
1353->,0.25,-0.5,0.25,0,0.590909091
1354->,-0.5,-0.75,0,-0.5,0.590909091
1387->,0,-0.5,0,-0.75,0.590909091
1419->,0.875,0.875,0.875,0.875,0.590909091
1420->,0.875,0,0.875,0,0.045454545
1440->,0,0.5,-0.25,0.75,0.681818182
1441->,0.5,0,0.75,0.5,0.681818182
1471->,-0.25,0.25,0,0.25,0.772727273
1472->,0.25,0,0.25,0,0.681818182
1473->,0,0,0,-0.5,0.681818182
1503->,0,-0.25,0,0,0.772727273
1504->,-0.25,0,0,-0.25,0.590909091
1508->,0,-0.25,0.25,-0.375,0.590909091
1509->,-0.25,-0.125,-0.375,-0.375,0.681818182
1538->,0,0,0,0,0.590909091
1540->,-0.75,0,0,0,0.772727273
1541->,0,-0.25,0,0,0.590909091
1542->,-0.25,-0.375,0,-0.375,0.681818182
1570->,-0.5,0.125,0,0.25,0.772727273
1571->,0.125,0,0.25,-0.25,0.772727273
1572->,0,0.25,-0.25,0.25,0.772727273
1573->,0.25,-0.5,0.25,-0.5,0.590909091
1574->,-0.5,-0.5,-0.5,-0.5,0.409090909
1601->,0,0.875,0,0.25,0.772727273
1604->,0.875,0,-0.5,0,0.772727273
1805->,0,-0.5,0.75,-0.75,0.590909091
1864->,0.5,-0.5,0,0,0.590909091
1896->,0.25,0.5,0.25,-0.5,0.590909091
1897->,0.5,-0.75,-0.5,-0.75,0.590909091
1930->,0,-0.75,0,-0.5,0.590909091
1962->,0.875,0.875,0.875,0.875,0.590909091
1963->,0.875,-0.25,0.875,0,0.227272727
1983->,-0.75,0.5,0,0.5,0.681818182
1984->,0.5,0.5,0.5,0,0.681818182
2014->,-0.875,0.5,-0.25,0.25,0.772727273
2015->,0.5,0,0.25,0,0.681818182
2016->,0,0,0,0,0.681818182
2046->,0,0,0,-0.25,0.772727273
2047->,0,0,-0.25,0,0.590909091
2052->,-0.375,0,-0.25,-0.125,0.681818182
2078->,0.5,0,0.25,0.25,0.590909091
2082->,0,-0.875,0,-0.75,0.409090909
2083->,-0.875,0,-0.75,0,0.772727273
2084->,0,-0.125,0,-0.25,0.681818182
2114->,0.125,0.75,0.125,0,0.772727273
2115->,0.75,0.25,0,0.25,0.772727273
2116->,0.25,-0.25,0.25,-0.5,0.681818182
2117->,-0.25,-0.5,-0.5,-0.5,0.681818182
2143->,0.25,-0.5,0,0,0.590909091
2144->,-0.5,0.875,0,0.875,0.863636364
2145->,0.875,0,0.875,0,0.045454545
2146->,0,-0.75,0,0.875,0.590909091
2148->,0,-0.5,0,0.75,0.681818182
2190->,0,0,0,0,0.409090909
2191->,0,0,0,0,0.409090909
2201->,0,0,0,0,0.409090909
2407->,0.5,0.25,0.5,-0.5,0.590909091
2408->,0.25,0,-0.5,0,0.590909091
2439->,0.25,-0.25,0.25,0.5,0.590909091
2440->,-0.25,-0.25,0.5,-0.75,0.590909091
2473->,-0.5,-0.75,0,-0.75,0.590909091
2479->,1,0.125,1,0.125,0.590909091
2505->,0.5,0,0.875,0.875,0.590909091
2506->,0,-0.5,0.875,-0.25,0.409090909
2525->,0.125,-0.75,0.125,-0.75,0.681818182
2526->,-0.75,0.5,-0.75,0.5,0.681818182
2527->,0.5,0.5,0.5,0.5,0.681818182
2557->,-0.125,0.75,-0.875,0.5,0.772727273
2558->,0.75,0,0.5,0,0.681818182
2559->,0,0,0,0,0.681818182
2589->,0,0,0,0,0.681818182
2590->,0,0,0,0,0.590909091
2621->,0,-0.25,0.5,0,0.681818182
2625->,0,-0.875,0,-0.875,0.045454545
2626->,-0.875,0,-0.875,0,0.681818182
2627->,0,-0.25,0,-0.125,0.681818182
2656->,0,0.25,-0.5,0.125,0.681818182
2657->,0.25,0,0.125,0.75,0.681818182
2658->,0,-0.25,0.75,0.25,0.409090909
2659->,-0.25,-0.75,0.25,-0.25,0.681818182
2687->,0,0.375,-0.5,0.875,0.045454545
