3023->,0.25,0.5,1,0,0.5,0.25,1,0.5,0.5,0.125,0.125,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0,1,0.5,0.25,0,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.125,0.5,0.25,0.25,0.125,0.125,0.5,0.125,0.5,0.25,0.25,0.25,0.25,0,0.5,0.25,0.5,0,0.125,0.125,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.045454545,0.590909091
3648->,0.125,0,0.25,0.25,0,0.125,0.25,0.125,0.125,0.25,0.25,0,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0,0.125,0.125,0.125,0.125,0.25,0.5,0.125,0.125,0.25,0.125,0.125,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.5,0.25,0.25,0.5,0.25,0.125,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.045454545,0.636363636
3666->,0.125,0,0.125,0.25,0,0,0.125,0.5,0.5,0.5,0.5,0.125,0,0,0.25,0.5,0.125,0,0.25,0,0,0,0.25,0.5,0.5,1,1,0,0,0,0.25,0.5,0.125,0.125,0.25,0.5,0.125,0,0.25,1,1,0.25,0.25,0,0,0.125,0.125,0.25,0.125,0,0.5,0,0,0,0.5,0.25,0.25,0.5,0.5,0.5,0,0.125,0.125,0.25,0.045454545,0.590909091
3695->,0.25,0.25,0,0.25,0.25,0.125,0,0,0,0.125,0.125,0.25,0.125,0.125,0,0.125,0.25,0.25,0.125,0.5,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.125,0.5,0.25,0.125,0.25,0.25,0.125,0.125,0,0,0.125,0.125,0.125,0.125,0.125,0,0.125,0.5,0.125,0.125,0.5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.125,0.125,0.125,0.045454545,0.5
3706->,0,0,0.125,0.5,0,0.125,0.125,0.125,0.125,0.5,0.5,0.25,0.125,0,0.125,0.125,0,0,0.5,1,0,0,0.5,0.5,0.5,0.125,0.125,0.25,0,0.25,0.25,0.125,0,0,0.125,0.5,0,0,0.125,1,1,0.25,0.25,0.25,0,0.125,0.125,0.25,0,0,0.25,1,0,0,0.25,0.25,0.25,0.125,0.125,0.25,0,0.25,0.5,0.125,0.045454545,0.454545455
3707->,0,0.125,0.125,0.5,0.125,0,0.125,0.125,0.125,0.125,0.125,0.25,0,0.125,0.5,0.125,0,0,0.5,0.125,0,0.25,0.5,0.25,0.25,0.125,0.125,0.25,0.25,0.25,0.125,1,0,0,1,0.25,0,0.125,1,0.125,0.125,0.25,0.25,0.25,0.125,0.25,0.25,0.125,0,0,0.25,0.125,0,0.25,0.25,0.5,0.5,0.125,0.125,0.5,0.25,0.5,0.125,0,0.045454545,0.5
3716->,0.25,0.5,1,0.125,0.5,0.5,1,1,1,0.25,0.25,0.25,0.5,0,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.125,0.5,0.25,0.25,0.125,0.5,0.125,0.125,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.125,0.25,0.25,0.25,0.125,0.5,0.25,0.125,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.125,0.5,0.25,0.045454545,0.818181818
3717->,0.5,0.5,1,0.25,0.5,0,1,0.25,0.25,0.25,0.25,0.25,0,0,0.125,0.25,0.25,0.5,0.5,0.25,0.5,0.125,0.5,0.5,0.5,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.5,0.25,0.25,0.5,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0,0.125,0.125,0.125,0.5,0.25,0.25,0.5,0.125,0.25,0.5,0.5,0.25,0.25,0.25,0.125,0.125,0.125,0.25,0.045454545,0.454545455
3844->,1,0,1,0.125,0,0.5,1,0.125,0.125,0.25,0.25,0.125,0.5,0.5,0.125,0.125,1,0,0.125,0.25,0,0.25,0.125,1,1,0.25,0.25,0.125,0.25,1,0,0.125,1,0,1,0.125,0,1,1,0.125,0.125,0.25,0.25,0.25,1,0.25,0,0.125,1,0,0.125,0.25,0,0.5,0.125,0.25,0.25,0.25,0.25,0.125,0.5,0.25,0,0.125,0.045454545,0.5
77->,0.5,0.5,1,1,0.5,0.25,1,1,1,1,1,0,0.25,0.25,0.125,1,1,0.25,1,1,0.25,0.5,1,0.5,0.5,1,1,0,0.5,1,0,1,0.5,0.25,1,0.5,0.25,0.25,1,0.5,0.5,1,1,0.125,0.25,0.5,0.125,1,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.125,0.5,1,0,1,0.090909091,0.954545455
